PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2024-10-18,16:01:41.33,1,1,"McKee, Tate",90000217564,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.32835,-1.113195,0.500014,2306.796977,214.132329,1:15,6.04903,1.46274,5.48865,-16.53261,15.30922,9.70193,3.62973,2.73902,86.23984,-4.220579,2.228073,0.406135,,,,,,,,,,,,-4.72209,8.31524,-1.51311,50,5.9405,-1.65843,-136.93761,-3.22377,-8.97636,29.92535,-16.36742,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,c8947dc0-8d8b-11ef-8edc-f5991dd1b850,92.80767,,,8.0885,,,,,,,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:01:41.33,2024-10-18T16:01:41.3343080-04:00,2024-10-18T20:01:41.3343080Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,5d7811c4-36a3-4bbb-9b5a-43d0466bccdb,55.00811,-138.02771,14.96268,6.04707,-2.62756,-8.18371,-1.45865,-1.33144,-4.48818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2024-10-18,16:01:55.78,1,2,"McKee, Tate",90000217564,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,1,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,94.80249,-2.885114,-1.747308,2354.510156,210.961901,1:00,5.95521,1.26986,5.50197,-14.66863,17.00777,9.57851,2.03089,0.43334,86.46926,-5.658949,-0.040993,0.405078,90.90131,40.621031,-37.17297,,,,,,131.76308,,,-5.36095,9.73426,-1.12398,50,5.69337,3.74786,-137.42383,-7.41325,-10.22818,31.11185,-13.60199,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,d12de070-8d8b-11ef-8edc-f5991dd1b850,93.04972,85.77343,,8.33323,,,,1.99426,2.33055,-0.45385,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:01:55.78,2024-10-18T16:01:55.7873512-04:00,2024-10-18T20:01:55.7873512Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,14eec3f7-23f6-4720-9d68-4c0d7fc9f1ab,54.99679,-138.55045,15.55593,5.9529,-6.92069,-6.80099,-1.2664,4.11825,-5.11409,,1.99426,80.63404,-23.78376,7.43629,-1.98663,0.47978,-0.10803,0.01913,-0.00188,2.33055,86.79948,-25.7262,2.56079,-0.258,-0.02371,0.01802,-0.0038,0.00035,-0.45385,-61.14469,4.15099,0.56228,-0.49533,0.18776,-0.04927,0.00832,-0.00064,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2024-10-18,16:02:14.41,1,3,"McKee, Tate",90000217564,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,1,1,Cutter,Cutter,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,90.7003,-2.415288,-2.368404,2482.882733,195.79575,12:30,5.89631,1.45631,5.31862,-24.90198,9.66209,2.4415,1.55116,-0.56421,83.65222,-6.975767,-1.934999,0.42314,91.87316,-7.342266,59.120535,,,,,14.40986,14.40986,47.538983,0.091284,-1.85311,5.78154,-1.24362,50,5.65935,5.33289,-131.56265,-6.48465,-3.26874,26.23974,-21.97599,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,dc4bcb20-8d8b-11ef-8edc-f5991dd1b850,89.07801,1.57359,,7.04809,,,,3.46015,1.57359,0.14947,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:02:14.41,2024-10-18T16:02:14.4179560-04:00,2024-10-18T20:02:14.4179560Z,GroundBall,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,9ad1d79d-ab2d-4c79-bc40-9327b92da9fe,55.18145,-132.59204,13.11987,5.89683,-5.62252,-10.988,-1.45534,5.46113,-1.63437,180,3.45908,68.66264,,,,,,,,1.57386,-17.23849,,,,,,,,0.14767,114.82029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2024-10-18,16:02:43.76,1,4,"McKee, Tate",90000217564,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,1,2,ChangeUp,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.95914,-0.941485,-1.403465,2212.894667,268.100174,3:00,5.6324,1.56261,5.51788,-34.90793,1.50858,12.94824,1.84277,1.32913,81.1352,-7.315441,0.907762,0.434331,71.92012,22.300487,-149.271861,2904.06202,,,,,49.03105,,,-6.95402,1.31165,-1.44946,50,5.52677,2.57917,-127.80361,-3.39259,-11.557,25.1535,-29.99418,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,edcefa70-8d8b-11ef-8edc-f5991dd1b850,86.7828,15.39367,,6.82393,,,,2.1008,1.93557,-1.18614,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:02:43.76,2024-10-18T16:02:43.7608808-04:00,2024-10-18T20:02:43.7608808Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,de856994-b4dd-4574-b85f-d515135dac44,54.9829,-128.78057,12.57675,5.63592,-2.22761,-14.99709,-1.55836,3.02805,-5.7785,,2.1008,-83.89129,5.59048,1.19695,-0.524,0.19577,-0.05441,0.01349,-0.00247,1.93557,40.02687,-30.94426,5.41561,-1.25635,0.29319,-0.05837,0.01145,-0.00141,-1.18614,-49.86675,13.0681,-1.62397,0.24174,-0.001,-0.00977,0.00329,-0.00079,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
5,2024-10-18,16:03:03.81,1,5,"McKee, Tate",90000217564,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,1,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,94.98133,-0.390139,-0.057661,2314.984092,211.089203,1:00,6.0656,1.15936,5.31283,-18.1167,13.39233,7.4991,4.18969,1.73016,87.01087,-3.766613,1.273952,0.404007,,,,,,,,,,,,-3.76213,7.10272,-1.15971,50,6.01736,-0.22496,-137.92996,-1.60645,-7.27799,29.47145,-18.43353,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,f9bae380-8d8b-11ef-8edc-f5991dd1b850,93.29652,,,7.97045,,,,,,,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:03:03.81,2024-10-18T16:03:03.8127976-04:00,2024-10-18T20:03:03.8127976Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,179999a0-2ac3-45e4-8bb3-96c0feaf7648,55.18481,-139.03338,14.73573,6.06458,-0.91629,-9.21677,-1.15639,0.04753,-3.639,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2024-10-18,16:03:25.89,1,6,"McKee, Tate",90000217564,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,87.1442,-1.771739,-0.155879,2496.972525,123.906556,10:15,5.77236,1.42984,5.1023,-32.24714,5.16855,-6.16233,1.41512,0.76944,81.03925,-7.605839,-1.247604,0.440249,,,,,,,,,,,,3.03461,3.32158,-1.41012,50,5.5799,0.61936,-126.60669,-5.16053,4.99363,22.50309,-26.70821,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,06e58e20-8d8c-11ef-8edc-f5991dd1b850,85.61621,,,6.10495,,,,,,,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:03:25.89,2024-10-18T16:03:25.8907496-04:00,2024-10-18T20:03:25.8907496Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,6d01995c-f23b-453d-898e-84b591bc9bb2,55.39746,-127.56243,11.25155,5.77498,-4.02619,-13.3541,-1.43193,0.40727,2.49681,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2024-10-18,16:03:42.05,1,7,"McKee, Tate",90000217564,Right,GIT_YEL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,3,2,Slider,Slider,StrikeCalled,Strikeout,Undefined,Undefined,0,0,,86.66898,-1.580949,-0.120404,2470.743088,105.916967,9:30,5.8945,1.27507,5.06122,-35.48207,2.51536,-5.05055,1.44649,0.74065,80.41003,-7.987432,-1.014786,0.443658,,,,,,,,,,,,2.49264,1.95898,-1.25941,50,5.71586,0.48817,-125.89188,-4.85396,4.04088,23.13048,-28.99833,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,1089d120-8d8c-11ef-8edc-f5991dd1b850,84.95826,,,6.25896,,,,,,,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:03:42.05,2024-10-18T16:03:42.0560000-04:00,2024-10-18T20:03:42.0560000Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,6e3f3249-d576-43d6-8b45-a2020af892d7,55.43902,-126.88727,11.56524,5.89789,-3.60606,-14.49916,-1.27667,0.31428,2.02044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.07432,2.750761,1.253837,1.496924,0.18746,1.27226,-0.71866,-2.93515,4.84253,1.18721,75.04606,9.7959,-49.73754,-2.71538,57.63639,-3.76322,5.01708,24.32035,-14.07665,1.06766,-37.18173,2.14557,High,High,High,,,High,High,High
8,2024-10-18,16:04:08.75,2,1,"McKee, Tate",90000217564,Right,GIT_YEL,"Brooks, Jamarie",1000230976,Right,KEN_OWL,Undefined,1,Top,1,0,0,Slider,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,85.32484,0.465844,-0.141512,2393.026609,74.169491,8:30,6.07326,1.14663,4.92778,-40.30187,-0.8902,-7.09126,3.15515,0.42192,78.89108,-6.805982,-1.393141,0.451839,,,,,,,,,,,,3.4663,-0.20043,-1.12669,50,6.08495,0.6256,-123.94895,-0.589,5.44258,22.62038,-32.48876,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,2072ff80-8d8c-11ef-8edc-f5991dd1b850,83.42005,,,6.43376,,,,,,,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:04:08.75,2024-10-18T16:04:08.7520104-04:00,2024-10-18T20:04:08.7520104Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,65a827d6-06ef-487a-9c29-8a79c63d3607,55.57216,-124.96171,11.31019,6.07876,0.8656,-16.24438,-1.14925,0.38192,2.72129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2024-10-18,16:04:22.72,2,2,"McKee, Tate",90000217564,Right,GIT_YEL,"Brooks, Jamarie",1000230976,Right,KEN_OWL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,94.18121,-3.315879,-2.262921,2412.824141,205.002512,12:45,6.04858,0.78213,5.52064,-13.74536,18.4504,8.09567,1.79705,-0.66006,85.69561,-5.931989,-0.821161,0.408386,,,,,,,,,,,,-4.73335,10.5919,-0.59065,50,5.75061,5.00762,-136.36667,-8.33151,-8.87583,31.15516,-12.31239,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,28cd0f40-8d8c-11ef-8edc-f5991dd1b850,92.29612,,,8.4856,,,,,,,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:04:22.72,2024-10-18T16:04:22.7265896-04:00,2024-10-18T20:04:22.7265896Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,8ac30684-aec9-4cc7-880f-5fe10e46ed00,54.97628,-137.49888,15.57758,6.04526,-7.88406,-6.15619,-0.77849,5.33018,-4.43791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2024-10-18,16:04:37.45,2,3,"McKee, Tate",90000217564,Right,GIT_YEL,"Brooks, Jamarie",1000230976,Right,KEN_OWL,Undefined,1,Top,1,0,2,Slider,Slider,InPlay,Undefined,LineDrive,Double,0,0,,84.88878,-0.896528,0.099894,2498.090018,58.290839,8:00,5.96611,1.05146,5.02624,-43.35707,-3.17886,-7.23898,1.50699,0.54247,77.84914,-8.722568,-1.18211,0.456212,78.12014,20.688941,-34.040611,2388.117455,88.07132,26.96035,-65.90458,232.2354,231.8615,-40.31567,2.758167,3.64819,-0.9915,-1.05483,50,5.84518,0.10148,-123.1721,-3.6068,5.57808,25.54459,-33.69007,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,3196d0c0-8d8c-11ef-8edc-f5991dd1b850,82.62043,27.36998,,7.03964,,,,2.36638,1.90301,-0.70986,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:04:37.45,2024-10-18T16:04:37.4597992-04:00,2024-10-18T20:04:37.4597992Z,LineDrive,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,af15b348-5c4d-4afb-a7e9-a57bde94455c,55.47383,-124.30213,12.77229,5.97177,-2.11644,-16.84503,-1.05386,-0.14528,2.78904,,2.36612,88.83229,-14.52581,3.48219,-1.19411,0.53866,-0.2106,0.04703,-0.00422,1.9032,40.47021,-17.19923,0.83018,0.22247,-0.26152,0.12316,-0.02737,0.00232,-0.70977,-60.00547,1.90993,0.3243,-0.07707,-0.06656,0.04771,-0.01266,0.00122,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
11,2024-10-18,16:05:16.39,3,1,"McKee, Tate",90000217564,Right,GIT_YEL,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,95.5402,-3.669647,-2.837039,2469.152013,206.604028,1:00,6.03666,1.32959,5.35302,-10.54044,21.20954,10.04422,1.70765,-0.49637,86.24756,-5.724349,-1.055524,0.405549,,,,,,,,,,,,-5.88807,12.07879,-1.08156,50,5.69878,6.34734,-138.07727,-9.14677,-11.24343,33.87236,-9.10936,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,48cae8d0-8d8c-11ef-8edc-f5991dd1b850,92.94184,,,9.29264,,,,,,,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:05:16.39,2024-10-18T16:05:16.3934056-04:00,2024-10-18T20:05:16.3934056Z,,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,72393b51-d4ec-429f-ac4a-75f7bc59336d,55.14269,-139.33314,16.93618,6.03164,-8.80903,-4.55468,-1.32462,6.76421,-5.62172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
12,2024-10-18,16:05:34.72,3,2,"McKee, Tate",90000217564,Right,GIT_YEL,"Chirello, Jackson",823774,Left,KEN_OWL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,InPlay,Undefined,LineDrive,Triple,0,1,,94.49605,-1.522319,-1.55648,2378.34881,212.029433,1:00,6.03585,1.46999,5.63472,-16.40525,15.32631,8.92969,3.24761,0.76163,85.9489,-4.624608,0.038276,0.405431,105.05446,21.691461,2.009574,2009.190387,109.99836,41.45256,-0.50976,380.34814,380.34814,-5.275342,4.373309,-5.00902,8.54134,-1.34358,50,5.89611,3.31782,-137.11,-4.19133,-9.48867,31.69664,-15.99399,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,53acb4e0-8d8c-11ef-8edc-f5991dd1b850,92.96879,59.73167,,8.54715,,,,1.39908,3.25853,-0.75488,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:05:34.72,2024-10-18T16:05:34.7236712-04:00,2024-10-18T20:05:34.7236712Z,LineDrive,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,ed58135d-7a16-4158-ac22-9314f6df9c1e,54.86369,-138.22979,15.84832,6.03421,-3.62628,-7.997,-1.46671,3.65303,-4.74434,150.596084,1.39811,143.10467,-25.65236,5.84313,-1.34508,0.28746,-0.04864,0.00511,-0.00023,3.26039,56.8967,-15.76752,0.92469,-0.14633,0.02578,-0.0044,0.00085,-8E-05,-0.75567,5.04489,-6.78499,1.82075,-0.39122,0.06094,-0.00611,0.00035,-1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
13,2024-10-18,16:06:17.60,4,1,"McKee, Tate",90000217564,Right,GIT_YEL,"Cash, Donovan",828758,Right,KEN_OWL,Undefined,1,Top,1,0,0,Slider,Slider,InPlay,Undefined,GroundBall,Out,1,1,,84.79129,-0.202646,-0.987697,2343.999517,61.205927,8:00,6.06118,1.09496,5.20894,-41.65522,-2.18843,-5.99111,2.39932,-0.33322,78.64549,-7.734328,-2.050988,0.452155,104.03961,-13.598967,2.784203,,,,,9.33373,9.33373,5.037209,0.052459,2.76953,-0.75595,-0.99886,50,6.0106,2.37813,-123.24072,-2.00745,4.2991,22.35725,-33.3475,GIT_YEL,KEN_OWL,GeorgiaTech,TeamExclusive,Team,20241018-GeorgiaTech-Private-3,6d434e00-8d8c-11ef-8edc-f5991dd1b850,83.36177,1.8842,,6.14581,,,,1.51792,1.8842,0.44118,c882791d-1451-4e49-aa82-28747759c705,2024-10-18,20:06:17.60,2024-10-18T16:06:17.6003432-04:00,2024-10-18T20:06:17.6003432Z,GroundBall,v3,100,471506,,"Lackey, Vahn",822518,Right,GIT_YEL,61bf1cc2-300a-4198-a185-304c565cec81,55.29251,-124.19713,11.17863,6.06596,-0.5809,-16.67375,-1.09666,2.19422,2.14955,180,1.51653,148.30286,,,,,,,,1.88454,-35.9178,,,,,,,,0.44112,7.21223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,High,,,
