PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-01-17,12:08:21.48,1,1,"Gold, Ryan",823234,Left,KEN_OWL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.08018,-2.770538,3.464976,2108.465837,144.95697,10:45,6.39844,-2.93705,6.12295,-17.90284,18.72714,-12.12485,2.3386,-0.74032,78.85935,-6.223885,1.284125,0.435602,82.49701,53.851544,-28.918852,5140.580767,,,,,124.32732,,,7.47339,11.03879,2.67787,50,6.17675,-7.21716,-127.38438,-6.65174,11.99512,31.82107,-14.45632,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,a7e5b560-d4f5-11ef-af6a-3dd0a554f35d,86.52952,108.69376,,9.22083,,,,1.80893,2.34362,0.8045,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:08:21.48,2025-01-17T12:08:21.4808454-05:00,2025-01-17T17:08:21.4808454Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,a4793db9-ae7e-43cd-a296-91d29cad945d,54.37377,-128.47232,15.91054,6.39572,-6.15749,-7.22816,2.93163,-7.62726,5.99756,147.29539,1.80893,62.47074,-17.84906,4.90368,-1.03713,0.16525,-0.00426,-0.00682,0.00116,2.34362,97.70329,-27.63818,3.33426,-0.66242,0.13151,-0.02654,0.00407,-0.00029,0.8045,-34.51501,-0.648,0.99587,-0.29259,0.04658,0.00306,-0.00373,0.00058,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
2,2025-01-17,12:08:58.30,1,2,"Gold, Ryan",823234,Left,KEN_OWL,"Cole, Christopher",1000077702,Left,KEN_OWL,Undefined,1,Top,0,0,1,Fastball,Sinker,InPlay,Undefined,Popup,Out,1,0,,87.31572,-2.387833,3.745149,2024.659306,145.753659,10:45,6.39072,-2.84677,6.2776,-16.37902,20.71804,-13.10272,2.81881,-0.48161,78.0057,-5.588582,1.383079,0.43837,82.99148,56.119501,2.796497,4727.545614,109.80377,131.29774,-6.56598,186.49914,96.73186,-8.059377,5.814277,8.12729,12.01213,2.57609,50,6.20608,-7.74512,-126.29972,-5.6673,12.80471,31.62266,-13.2487,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,bddf0380-d4f5-11ef-af6a-3dd0a554f35d,85.98307,131.70954,,9.31002,,,,2.02001,2.83124,0.49723,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:08:58.30,2025-01-17T12:08:58.3088518-05:00,2025-01-17T17:08:58.3088518Z,FlyBall,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,5a02baf5-d406-4ced-8420-0f58534fd293,54.219,-127.35168,15.81133,6.38728,-5.22657,-6.62435,2.84083,-8.17108,6.40236,169.483989,2.02666,67.64928,-17.25559,3.89399,-0.51304,0.0207,0.00366,-0.00044,1E-05,2.83174,101.04016,-24.4937,2.65186,-0.39375,0.00445,0.01108,-0.00184,0.0001,0.49865,3.28116,-4.08139,0.98476,-0.13004,0.00147,0.00244,-0.00034,1E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
3,2025-01-17,12:09:33.10,2,1,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.58664,-2.878538,5.166328,2015.978447,134.57612,10:30,6.35861,-2.84432,6.26974,-18.49092,17.30745,-16.23729,2.15093,0.57832,80.01451,-6.422297,2.247241,0.430629,,,,,,,,,,,,9.99823,10.24989,2.46858,50,6.13556,-10.90777,-127.97946,-6.95732,16.38395,29.36065,-15.37778,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,d29aa180-d4f5-11ef-af6a-3dd0a554f35d,87.52885,,,8.57214,,,,,,,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:09:33.10,2025-01-17T12:09:33.1073414-05:00,2025-01-17T17:09:33.1073414Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,d4da2c69-9924-455f-b981-4103a4bb104d,54.22762,-128.9457,14.68033,6.35619,-6.45124,-7.68889,2.83642,-11.44695,8.19198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2025-01-17,12:09:52.36,2,2,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,0,1,Curveball,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,75.96574,1.495363,3.847212,1966.616591,329.293698,5:00,6.25632,-3.17093,5.71851,-54.04838,-4.75205,3.79,3.1487,0.73403,69.40288,-8.390829,4.523037,0.505334,,,,,,,,,,,,-0.74961,-2.34193,2.84657,50,6.3485,-7.5399,-110.0227,1.15626,-0.91067,21.14262,-35.01911,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,de209cd0-d4f5-11ef-af6a-3dd0a554f35d,74.58914,,,6.56286,,,,,,,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:09:52.36,2025-01-17T12:09:52.3658118-05:00,2025-01-17T17:09:52.3658118Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,439416ce-cece-4a88-a94c-eaa63e5d15d9,54.78106,-110.93765,10.57131,6.26567,2.67172,-17.50956,3.17201,-7.50049,-0.45533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-01-17,12:10:10.79,2,3,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,0,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,77.17454,-0.580433,6.355034,1809.852063,98.737261,9:15,6.25846,-2.8997,5.87148,-43.39302,4.39851,-17.7541,2.0999,1.54796,70.26524,-8.572983,3.193411,0.497561,,,,,,,,,,,,10.91201,2.96788,2.3934,50,6.18644,-11.73696,-111.38231,-2.46693,13.60335,21.43297,-28.47418,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,e91c5980-d4f5-11ef-af6a-3dd0a554f35d,75.75435,,,6.9093,,,,,,,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:10:10.79,2025-01-17T12:10:10.7952006-05:00,2025-01-17T17:10:10.7952006Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,619190e7-d224-4f84-ab7c-bdf675bb1046,54.6269,-112.26912,10.71648,6.26414,-1.28878,-14.23709,2.89067,-12.29981,6.80168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2025-01-17,12:10:29.87,2,4,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.26162,-1.530874,5.373416,1940.392011,103.098446,9:30,6.27585,-2.94264,5.84193,-41.65522,5.85378,-18.168,1.37523,0.55189,70.6383,-9.195275,2.128413,0.496089,,,,,,,,,,,,10.97253,3.87662,2.51501,50,6.12598,-9.85546,-111.71828,-4.25774,13.77533,21.37453,-27.3072,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,f47885b0-d4f5-11ef-af6a-3dd0a554f35d,75.97922,,,6.62332,,,,,,,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:10:29.87,2025-01-17T12:10:29.8731398-05:00,2025-01-17T17:10:29.8731398Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,b051eeb9-4576-4638-af35-e79736179b0c,54.65901,-112.60614,10.68726,6.27928,-3.12345,-13.6536,2.93627,-10.42766,6.88766,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2025-01-17,12:11:03.54,2,5,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,74.71074,1.157891,4.633337,1435.70093,111.891657,9:45,6.2455,-2.93403,5.96714,-42.61813,7.51213,-14.73528,3.77122,0.14334,68.41897,-6.735606,1.996641,0.509591,,,,,,,,,,,,8.86599,3.99717,2.57442,50,6.31372,-8.25886,-108.22721,0.97531,10.52072,18.80477,-27.43086,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,088b6090-d4f6-11ef-af6a-3dd0a554f35d,73.96612,,,6.29177,,,,,,,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:11:03.54,2025-01-17T12:11:03.5470726-05:00,2025-01-17T17:11:03.5470726Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,4f7b78b8-0c0b-446b-8c52-1a1d8d7c5a95,54.53291,-109.01197,9.40239,6.24914,2.12005,-13.71543,2.92824,-8.69791,5.26036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-01-17,12:11:30.60,2,6,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,1,2,Fastball,Sinker,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.87938,-1.24394,4.085041,2174.622431,134.834075,10:30,6.37455,-2.86251,6.00738,-18.02434,17.77875,-16.5708,3.71693,-0.4523,80.05096,-4.702424,1.114233,0.430657,78.74882,3.825247,-177.973323,,,,,69.40335,40.80096,-179.98489,0.683967,9.55634,9.82138,2.54865,50,6.2664,-8.43187,-128.58377,-3.28891,15.80959,29.61504,-15.92604,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,18a87030-d4f6-11ef-af6a-3dd0a554f35d,87.5231,4.52748,,8.82842,,,,2.98143,3.80289,0.22197,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:11:30.60,2025-01-17T12:11:30.6018182-05:00,2025-01-17T17:11:30.6018182Z,GroundBall,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,d10dde95-0622-49ee-81d5-af3062ff3e0e,54.48526,-129.61269,14.80752,6.37106,-2.73559,-7.96302,2.85115,-8.98114,7.9048,56.580714,2.95866,-114.71807,13.08748,,,,,,,3.83247,7.12054,-18.66195,,,,,,,0.20385,-3.71511,4.99235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
9,2025-01-17,12:11:57.44,2,7,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,76.578,-0.412794,5.727176,1677.001601,108.256514,9:30,6.23087,-2.78256,5.7651,-40.82211,7.09768,-17.11328,2.44291,1.13946,70.67177,-7.905068,2.681674,0.498229,,,,,,,,,,,,10.1743,4.17807,2.31744,50,6.1717,-10.4843,-110.80357,-2.04972,12.74684,18.36252,-26.93957,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,28abb640-d4f6-11ef-af6a-3dd0a554f35d,75.65289,,,5.90623,,,,,,,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:11:57.44,2025-01-17T12:11:57.4423430-05:00,2025-01-17T17:11:57.4423430Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,0ab775c3-9ccd-4b06-bd4d-9a8c3f44ecbc,54.73549,-111.58558,9.18126,6.23456,-0.90244,-13.46979,2.7755,-11.02715,6.37342,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2025-01-17,12:12:26.47,2,8,"Gold, Ryan",823234,Left,KEN_OWL,"Williams, Cooper",1000230079,Left,KEN_OWL,Undefined,1,Top,1,2,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,76.06357,0.231192,4.421946,1466.633851,46.670921,7:30,6.1922,-3.13324,5.67068,-60.19102,-10.67367,-13.15505,1.39248,-0.09849,69.39611,-10.724068,2.07142,0.506466,,,,,,,,,,,,8.17256,-5.12622,2.76797,50,6.17327,-8.03873,-110.13096,-1.48507,9.88512,22.32532,-38.37445,KEN_OWL,KEN_OWL,KennesawWalterKelly,TeamExclusive,Team,20250117-KennesawWalterKelly-Private-1,39f733c0-d4f6-11ef-af6a-3dd0a554f35d,74.42248,,,6.66746,,,,,,,19f25ccc-39fb-41e7-a7de-9020b553dbf1,2025-01-17,17:12:26.47,2025-01-17T12:12:26.4745862-05:00,2025-01-17T17:12:26.4745862Z,,v3,471506,471506,,"Posey, Aaron",1000092788,Right,KEN_OWL,cab9429a-9397-4f10-b237-ee1e1dd9c6ae,54.83205,-111.10618,11.16266,6.20153,0.1912,-19.18723,3.12855,-8.47054,4.94256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
