PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2025-02-18,18:01:21.26,1,1,"Powell, Daniel",828761,Right,KEN_OWL,"Burnett, Robbie",823754,Left,GEO_BUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,87.41309,-4.613993,-1.116107,2268.587475,198.781418,12:45,6.61709,0.69391,6.33005,-12.54245,24.2993,7.77481,1.31311,0.31392,78.54708,-7.096969,0.290624,0.436859,,,,,,,,,,,,-4.39835,14.57839,-0.61591,50,6.27367,2.15019,-126.41381,-10.43763,-6.97323,30.63549,-9.06118,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,453dfbf0-ee4c-11ef-bfb4-19b8c7d60229,86.28048,,,8.86601,,,,,,,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:01:21.26,2025-02-18T18:01:21.2645376-05:00,2025-02-18T23:01:21.2645376Z,,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,017c47bb-4d58-4eda-b995-6a76df084e28,54.16537,-127.41926,15.31774,6.61135,-10.14024,-4.53059,-0.69023,2.37905,-3.48661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2025-02-18,18:01:37.17,1,2,"Powell, Daniel",828761,Right,KEN_OWL,"Burnett, Robbie",823754,Left,GEO_BUL,Undefined,1,Top,0,0,1,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.57714,-3.243234,-1.628563,2266.565406,209.816068,1:00,6.57591,0.79356,6.25197,-13.7595,22.79324,12.28343,2.43395,0.31491,78.94642,-5.942867,0.590404,0.435142,81.87005,73.264625,-73.34593,,,,,,43.64824,,,-6.90138,13.27221,-0.6784,50,6.32784,3.11638,-126.89201,-7.49343,-11.06975,29.89707,-10.88558,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,4eb6e930-ee4c-11ef-bfb4-19b8c7d60229,86.62093,110.24345,,8.63072,,,,1.18845,4.29897,-0.34827,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:01:37.17,2025-02-18T18:01:37.1711488-05:00,2025-02-18T23:01:37.1711488Z,,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,883d296a-822b-4385-821e-eddc7d6e21b9,54.24528,-127.88833,14.94853,6.57152,-7.13067,-5.44279,-0.7884,3.48528,-5.53488,162.220592,1.18846,9.90566,-12.70384,4.13342,0.20915,-1.4569,1.11526,-0.41752,0.06434,4.29897,114.98975,-32.17379,4.41232,-0.78693,0.13098,-0.0397,0.01544,-0.00299,-0.34827,-33.12695,0.35294,0.62107,0.2,-0.56467,0.4293,-0.16241,0.02534,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
3,2025-02-18,18:01:57.29,1,3,"Powell, Daniel",828761,Right,KEN_OWL,"Burnett, Robbie",823754,Left,GEO_BUL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,88.94841,-2.864265,-1.913286,2325.730602,201.671632,12:45,6.63419,0.61173,6.23419,-10.42004,25.21899,9.47162,3.11984,-0.36467,79.63971,-4.975471,-0.203838,0.429669,70.11707,-8.331969,79.351091,,,,,15.73999,12.13772,73.756338,0.178539,-5.55709,14.43383,-0.47349,50,6.41502,3.91406,-128.82388,-6.61632,-9.13474,32.20745,-8.44776,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,5abe97a0-ee4c-11ef-bfb4-19b8c7d60229,87.72428,3.65863,,9.30869,,,,,,,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:01:57.29,2025-02-18T18:01:57.2972032-05:00,2025-02-18T23:01:57.2972032Z,GroundBall,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,b85a609f-58c1-4d93-89de-170f9dce6c1c,54.26204,-129.88507,16.10372,6.62843,-6.33798,-4.22388,-0.60741,4.21503,-4.56737,,1.29156,18.81176,-7.75637,,,,,,,3.65895,-14.92537,-31.19889,,,,,,,-2.601,100.06447,-4.76472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
4,2025-02-18,18:02:16.89,1,4,"Powell, Daniel",828761,Right,KEN_OWL,"Burnett, Robbie",823754,Left,GEO_BUL,Undefined,1,Top,0,0,2,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.00499,-1.470834,0.306859,2164.42603,202.088807,12:45,6.60607,0.77546,6.00882,-11.8469,23.68234,9.09768,4.25586,1.81789,80.31153,-3.814979,1.942786,0.429007,,,,,,,,,,,,-4.53642,12.95123,-0.80425,50,6.48388,-1.08281,-129.11377,-3.55578,-7.55888,30.11878,-10.59375,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,666142b0-ee4c-11ef-bfb4-19b8c7d60229,87.85973,,,8.69346,,,,,,,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:02:16.89,2025-02-18T18:02:16.8978944-05:00,2025-02-18T23:02:16.8978944Z,,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,db91662a-c940-4c3a-8da7-4735655a79a1,54.48662,-130.15617,15.05939,6.6006,-3.18913,-5.29687,-0.7713,-0.82121,-3.77944,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2025-02-18,18:02:30.81,1,5,"Powell, Daniel",828761,Right,KEN_OWL,"Burnett, Robbie",823754,Left,GEO_BUL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,77.40111,-2.361804,-1.439992,2001.382628,240.352338,2:00,6.53719,0.87125,6.03343,-36.10734,10.82831,16.11505,1.33925,0.88044,70.584,-9.067822,1.465623,0.493086,70.96952,-34.513549,59.045151,,,,,3.28233,2.78998,16.85682,0.025231,-8.77989,6.79926,-0.76754,50,6.33321,2.24576,-112.26005,-5.66539,-11.06477,22.68187,-23.60533,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,6ebe1190-ee4c-11ef-bfb4-19b8c7d60229,76.44191,1.4912,,6.81711,,,,2.02584,1.4912,-0.90793,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:02:30.81,2025-02-18T18:02:30.8135424-05:00,2025-02-18T23:02:30.8135424Z,GroundBall,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,8cd6d60c-1eba-40f5-b1d3-6238bc6b0cfd,54.4652,-113.15863,11.34094,6.53913,-4.73022,-11.80267,-0.8652,2.68411,-5.53239,,2.02546,44.20934,,,,,,,,1.4917,-59.10158,,,,,,,,-0.90856,73.7082,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Low,Low,,,
6,2025-02-18,18:02:52.74,1,6,"Powell, Daniel",828761,Right,KEN_OWL,"Burnett, Robbie",823754,Left,GEO_BUL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,InPlay,Undefined,Popup,Out,1,0,,77.65552,-0.586844,-1.829974,1941.164396,249.935725,2:15,6.5205,0.70987,6.31737,-38.03254,8.19741,17.88481,2.81031,0.51417,70.36499,-7.715995,1.409219,0.489365,79.78787,74.16804,-20.781483,,,,,,94.46318,,,-9.93119,4.92882,-0.58428,50,6.45964,2.97929,-112.72438,-2.20681,-12.56444,23.69165,-25.93835,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,7bcca8b0-ee4c-11ef-bfb4-19b8c7d60229,77.02314,110.56841,,7.29053,,,,1.53517,2.09871,-0.43051,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:02:52.74,2025-02-18T18:02:52.7475712-05:00,2025-02-18T23:02:52.7475712Z,,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,480885d5-f568-40cb-adf4-77f33c8677db,54.18139,-113.5998,11.84583,6.52347,-1.24838,-12.96917,-0.70294,3.44355,-6.28222,,1.53516,29.84706,-13.21778,3.69824,0.63701,-2.42482,2.30667,-1.06229,0.19375,2.09871,112.58294,-28.46313,3.55274,-0.88215,0.50323,-0.36665,0.16082,-0.02918,-0.43052,-11.32796,-2.82861,1.05951,0.36592,-1.08257,1.01872,-0.46859,0.0855,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Medium,Undefined,,,
7,2025-02-18,18:03:26.29,2,1,"Powell, Daniel",828761,Right,KEN_OWL,"Phelps, Tre",804569,Right,GEO_BUL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.12991,-2.893094,-1.266491,2237.109703,203.626649,12:45,6.66203,0.59908,6.25488,-14.08288,21.82131,8.98615,2.81765,0.17984,79.77769,-5.639835,0.357174,0.431265,,,,,,,,,,,,-5.0237,12.56331,-0.50913,50,6.43987,2.45787,-127.7828,-6.77581,-8.21406,29.06172,-11.63234,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,8fc67d50-ee4c-11ef-bfb4-19b8c7d60229,87.39976,,,8.35222,,,,,,,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:03:26.29,2025-02-18T18:03:26.2998528-05:00,2025-02-18T23:03:26.2998528Z,,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,6bc4392a-9690-4efe-928b-5d2b32d50b07,54.24141,-128.74381,14.53086,6.65757,-6.39115,-5.81617,-0.5949,2.72949,-4.10703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2025-02-18,18:03:40.19,2,2,"Powell, Daniel",828761,Right,KEN_OWL,"Phelps, Tre",804569,Right,GEO_BUL,Undefined,1,Top,1,0,1,Fastball,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.05913,-3.764123,-2.348267,2229.469512,195.540922,12:30,6.61607,0.47265,6.26089,-11.75402,24.23336,6.38355,2.15794,-1.16182,79.83763,-6.085458,-1.196165,0.431764,,,,,,,,,,,,-4.01264,14.07304,-0.30144,50,6.33039,4.9713,-127.52267,-8.62264,-6.54733,28.45737,-9.21135,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,980ba580-ee4c-11ef-bfb4-19b8c7d60229,87.29871,,,8.2215,,,,,,,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:03:40.19,2025-02-18T18:03:40.1921536-05:00,2025-02-18T23:03:40.1921536Z,,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,c9343a60-2184-4875-9483-80560ceb6e94,54.23602,-128.46449,14.22868,6.61072,-8.31779,-4.60568,-0.46956,5.18799,-3.27366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2025-02-18,18:03:54.96,2,3,"Powell, Daniel",828761,Right,KEN_OWL,"Phelps, Tre",804569,Right,GEO_BUL,Undefined,1,Top,1,0,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Single,0,0,,77.7128,-0.415987,-1.326949,2011.050036,245.961353,2:15,6.54716,0.67918,6.20996,-37.03065,9.03465,16.7293,3.07723,0.84837,70.78318,-7.338265,1.696652,0.488493,68.41721,26.600102,-26.95884,1277.838222,95.58344,33.64017,-54.44066,214.31438,213.98221,-31.43121,3.005558,-9.06745,5.28063,-0.58769,50,6.4976,2.01928,-112.86406,-1.86436,-11.57702,22.4915,-25.43191,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,a0e608d0-ee4c-11ef-bfb4-19b8c7d60229,77.16067,33.65857,,6.92962,,,,0.03391,2.89885,-0.86839,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:03:54.96,2025-02-18T18:03:54.9611520-05:00,2025-02-18T23:03:54.9611520Z,LineDrive,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,65072b8e-0092-4573-86ad-695c89df37c0,54.28855,-113.71547,11.24575,6.54995,-0.90164,-12.71596,-0.67242,2.45752,-5.78851,136.602619,0.03438,79.954,-9.81887,1.64036,0.11541,-0.28965,0.10695,-0.01659,0.00094,2.89868,44.93698,-17.68618,1.16919,-0.27231,0.06856,0.0028,-0.00494,0.00065,-0.86851,-40.67266,1.22562,0.21319,-0.12838,0.04147,-0.00864,0.00018,0.00011,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
10,2025-02-18,18:04:27.14,3,1,"Powell, Daniel",828761,Right,KEN_OWL,"McCarthy, Nolan",1000257371,Right,GEO_BUL,Undefined,1,Top,1,0,0,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,87.81233,-2.177041,-0.923466,2278.645718,215.365891,1:15,6.5593,0.76985,6.33121,-15.60513,20.52718,13.6391,3.25298,1.05602,79.24106,-5.213373,1.545035,0.432633,74.50702,11.711315,179.129662,1476.46608,,,,101.37664,39.6071,178.736429,1.012123,-7.41237,11.77713,-0.70876,50,6.39306,1.51657,-127.41767,-5.21666,-11.99492,30.00764,-13.11588,KEN_OWL,GEO_BUL,KennesawWalterKelly,D1,CUSA,20250218-KennesawWalterKelly-1,b409c8c0-ee4c-11ef-bfb4-19b8c7d60229,87.12344,7.8024,,8.57128,,,,1.34408,3.04356,-0.94937,8fcbc440-81e6-44ac-9163-2721762891e3,2025-02-18,23:04:27.14,2025-02-18T18:04:27.1413760-05:00,2025-02-18T23:04:27.1413760Z,GroundBall,v3,471506,226,,"Posey, Aaron",1000092788,Right,KEN_OWL,4d4829bf-d0c8-42ad-ac2b-9d0fe0780e89,54.16667,-128.3952,15.00382,6.55604,-4.7894,-6.55794,-0.76453,1.90731,-5.99746,10.859046,1.38632,-107.54725,5.92727,,,,,,,3.1146,21.23453,-24.08574,,,,,,,-0.96043,1.7731,1.37803,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
